Company Name,Industry,Listing Date,Current Price,Price Change (%),Offering Price,Change from Offering Price (%),Opening Price,Opening/Offering (%),First Day Closing Price,Financial Date,Annual Data,Operating Profit Margin,ROE,Debt Ratio,Quick Ratio,EPS,Competition Rate,Interest Rate,y
뉴로메카,기계,2022-11-04,26350.0,7.77,16900.0,55.92,24250.0,43.49,21050.0,2021.12,V,-40.93,-74.3,56.34,223.4,-842.0,1181.88,3.0,24.556213017751478
디티앤씨알오, 생명과학도구및서비스,2022-11-11,5570.0,-2.28,17000.0,-67.24,15700.0,-7.65,13850.0,2021.12,V,14.98,32.55,82.65,73.89,513.0,5.73,3.0,-18.529411764705884
윤성에프앤씨,전자장비와기기,2022-11-14,41050.0,-5.09,49000.0,-16.22,44100.0,-10.0,40450.0,2021.12,V,-6.07,-9.46,357.34,44.47,-466.0,1.73,3.0,-17.448979591836736
티에프이,반도체와반도체장비,2022-11-17,14820.0,0.47,10500.0,41.14,10000.0,-4.76,9260.0,2021.12,V,15.14,38.59,84.22,156.4,1086.0,87.78,3.0,-11.80952380952381
엔젯,디스플레이장비및부품,2022-11-18,9190.0,-3.16,10000.0,-8.1,9000.0,-10.0,10850.0,2021.12,V,17.57,-7.15,34.75,329.77,-3927.0,1.86,3.0,8.5
유비온,교육서비스,2022-11-18,903.0,4.15,2000.0,-54.85,1850.0,-7.5,1745.0,2021.12,V,6.14,80.1,536.88,27.63,94.0,57.8,3.0,-12.75
인벤티지랩, 제약,2022-11-22,13900.0,-2.87,12000.0,15.83,12750.0,6.25,14950.0,2021.12,V,-513.38,-42.92,19.75,919.6,-1376.0,5.99,3.0,24.583333333333332
펨트론,전자장비와기기,2022-11-24,7000.0,9.2,8000.0,-12.5,9820.0,22.75,9210.0,2021.12,V,7.0,51.01,394.39,44.07,236.0,14.59,3.25,15.125
바이오노트(유가),건강관리장비와용품,2022-12-22,4700.0,-0.84,9000.0,-47.78,9980.0,10.89,10650.0,2021.12,V,75.53,70.5,17.13,486.88,7178.0,14.61,3.25,18.333333333333332
티이엠씨,제조업,2023-01-19,7650.0,-4.38,28000.0,-72.68,27950.0,-0.18,28100.0,2021.12,V,15.14,61.17,101.33,81.62,2427.0,0.81,3.5,0.35714285714285715
한주라이트메탈(구.한주금속),화학,2023-01-19,816.0,-1.81,3100.0,-73.68,4115.0,32.74,5340.0,2022.12,V,2.26,0.01,380.82,46.56,380.82,565.18,3.5,72.25806451612902
오브젠,반도체 및 관련 장비,2023-01-30,9840.0,-1.01,18000.0,-45.33,36000.0,100.0,46800.0,2022.12,V,-15.67,-129.21,1193.29,225.75,-1133.0,5.97,3.5,160.0
삼기이브이,소프트웨어,2023-02-03,1773.0,-0.73,11000.0,-83.88,22000.0,100.0,26850.0,2022.12,V,8.03,19.99,110.74,119.84,3537.99,117.63,3.5,144.0909090909091
스튜디오미르,자동차 부품,2023-02-07,2770.0,-1.07,19500.0,-85.79,39000.0,100.0,50700.0,2022.12,V,12.96,9.61,21.04,380.96,61.0,1592.89,3.5,160.0
꿈비,가정용품,2023-02-09,5570.0,-1.76,5000.0,11.4,10000.0,100.0,13000.0,2022.12,V,4.17,19.58,98.05,77.59,167.0,1772.59,3.5,160.0
샌즈랩,소프트웨어,2023-02-15,7030.0,-4.61,10500.0,-33.05,21000.0,100.0,24900.0,2022.12,V,22.47,62.77,389.21,96.18,180.0,868.07,3.5,137.14285714285714
제이오,화학,2023-02-16,15970.0,-2.98,13000.0,22.85,19900.0,53.08,21500.0,2022.12,V,-3.35,-13.25,44.15,261.64,-209.0,142.47,3.5,65.38461538461539
이노진,바이오테크놀로지,2023-02-20,1525.0,-2.87,3000.0,-49.17,6000.0,100.0,7800.0,2022.12,V,16.28,22.05,17.87,370.66,144.0,1643.88,3.5,160.0
바이오인프라,바이오테크놀로지,2023-03-02,6790.0,-4.77,21000.0,-67.67,42000.0,100.0,29400.0,2022.12,V,17.95,43.36,81.97,175.19,1511.0,1034.74,3.5,40.0
나노팀,화학,2023-03-03,9000.0,12.64,13000.0,-30.77,26000.0,100.0,29800.0,2022.12,V,16.53,148.81,222.78,97.79,361.0,1637.43,3.5,129.23076923076923
자람테크놀로지,반도체 및 관련 장비,2023-03-07,39950.0,19.79,22000.0,81.59,44000.0,100.0,42700.0,2022.12,V,1.26,3.33,5.28,889.58,118.0,1030.65,3.5,94.0909090909091
금양그린파워,에너지,2023-03-13,10000.0,-6.19,10000.0,0.0,19000.0,90.0,16200.0,2022.12,V,4.64,13.13,95.11,99.02,837.0,1312.1,3.5,62.0
지아이이노베이션,바이오테크놀로지,2023-03-30,11600.0,-4.29,13000.0,-10.77,18950.0,45.77,20250.0,2022.12,V,-1941.49,-60.01,11.18,1024.13,-1996.0,262.2,3.5,55.769230769230774
마이크로투나노,반도체 및 관련 장비,2023-04-26,5910.0,-5.59,15500.0,-61.87,25200.0,62.58,20650.0,2022.12,V,15.18,25.18,89.6,349.65,1185.0,1636.63,3.5,33.225806451612904
